N° Incident;Open Date & Time;Assign To;Status;Customer;End Customer;N° Dossier Client;Country;HUB;Open By;Brend;Model;Component;Planning Date;Partner;Engineer;Couverture / Délais;Date limite;Etat;Groupe de l'opérateur;Close Date & Time;IB_SLA-GTI;IB_SLA-GTR;Serial #;IB_SLA-GBL
64051;11/19/2016 12:26:22 PM;SADDOLORATO;INTERVENTION;HP - SPM;ENI UDINE;5315089690;Italy;Europe;SADDOLORATO;DELL;SERVER;POWER problem;11/23/2016 7:00:00 PM;-;Borina;J+1;11/24/2016 7:00:09 PM;O;CALL;;NOK;;;NOK
64040;11/18/2016 4:52:10 PM;FPARISI;CLOSED;NB SERVICE SRL - NB SERVICE SRL;ELIOR GEMEAZ;N/C;Italy;Europe;FPARISI;DELL;SERVER;HDD problem;11/23/2016 2:00:00 PM;UPS;Corriere;H+4 SITE;11/21/2016 11:52:10 AM;C;CALL;11/23/2016 5:39:00 PM;NOK;;9ZP9T2J;NOK
64039;11/18/2016 4:47:01 PM;SADDOLORATO;CLOSED;UNIWARE - ELIS ITALIA;UNIWARE - ELIS ITALIA;INC000003635704;Italy;Europe;SADDOLORATO;SUN / ORACLE;SERVER;DRIVE problem;11/23/2016 1:00:00 PM;IB Italia DCS;Vincenzo Chieppa;H+4 SITE 24;11/23/2016 3:54:18 PM;C;CALL;11/24/2016 11:43:40 AM;OK;;TQ52151160;OK
64036;11/18/2016 4:29:06 PM;DFURCAS;CLOSED;APOGEO - APOGEO;APOGEO ITS;KPROV-2622846-PARMA3;Italy;Europe;DFURCAS;STORAGETEK;SERVER;DRIVE problem;11/21/2016 4:00:00 PM;apogeo;tecnici apogeo;J+1;11/22/2016 3:55:52 PM;C;CALL;11/23/2016 12:04:15 PM;OK;;;OK
64033;11/18/2016 4:04:27 PM;SADDOLORATO;WAITING CLIENT;HP - SPM;TELECOM ROMA;5315075922;Italy;Europe;SADDOLORATO;IBM;SERVER;HDD problem;;;;H+8;11/21/2016 3:04:27 PM;O;CALL;;NOK;;;NOK
64031;11/18/2016 3:37:41 PM;SADDOLORATO;DIAGNOSTIC;SELEX GALILEO;SELEX GALILEO;;Italy;Europe;SADDOLORATO;HP;SERVER;FAN problem;;;;J+1;11/19/2016 3:37:41 PM;O;CALL;;NOK;;CZC9165873;NOK
64029;11/18/2016 3:12:23 PM;DFURCAS;CLOSED;HP - SPM;TELECOM PADOVA;5315068815;Italy;Europe;DFURCAS;CISCO;SERVER;TO BE DEFINED problem;;;;H+8;11/22/2016 11:07:53 AM;C;CALL;11/21/2016 12:39:53 PM;OK;;;OK
64026;11/18/2016 1:17:00 PM;SADDOLORATO;CLOSED;HP - SPM;TELECOM ORIOLO;5315071551;Italy;Europe;FPARISI;HP;NETWORK;TO BE DEFINED problem;11/18/2016 5:00:00 PM;Ib Italia DCS;Yuri Pierelli;H+8;11/21/2016 1:49:43 PM;C;CALL;11/24/2016 2:45:43 PM;OK;;;OK
64023;11/18/2016 12:55:35 PM;LECOINTE;CLOSED;IWAY - RFI;IWAY - RFI;970;Italy;Europe;LECOINTE;SUN / ORACLE;SERVER;HDD problem;11/21/2016 4:00:00 PM;Apogeo;Leonardo Pasquale;J+1;11/22/2016 3:35:48 PM;C;CALL;11/23/2016 1:19:13 PM;OK;;0633AL207D;OK
64020;11/18/2016 12:44:21 PM;SADDOLORATO;INTERVENTION;RICOH;ROHDE SCHWARZ;;Italy;Europe;SADDOLORATO;DELL;SERVER;MOTHERBOARD problem;11/24/2016 3:00:00 PM;TNT;Corriere;BEST_EFFORT;11/28/2016 2:35:27 PM;O;CALL;;OK;;;OK
