N° Incident;Open Date & Time;Assign To;Status;Customer;End Customer;N° Dossier Client;Country;HUB;Open By;Brend;Model;Component;Planning Date;Partner;Engineer;Couverture / Délais;Date limite;Etat;Groupe de l'opérateur;Close Date & Time;IB_SLA-GTI;IB_SLA-GTR;Serial #;IB_SLA-GBL
63744;11/15/2016 2:34:19 PM;STEPHAN;WAITING CLIENT;AXIMUM;AXIMUM;939176856;France;Europe;STEPHAN;DELL;SERVER;HDD problem;;;;BEST_EFFORT;11/22/2016 3:47:42 PM;O;DISPATCH WESTERN EUROPE;;OK;;DG72T4J;OK
63732;11/15/2016 12:21:20 PM;BARKAT;CLOSED;ASLEASE - MARTIN BROWER;Martin BROWER;NC;France;Europe;BARKAT;HP;STORAGE;HDD problem;11/16/2016 6:30:00 PM;CLIENT;CLIENT;H+4 SITE 24;11/16/2016 5:20:22 PM;C;DISPATCH WESTERN EUROPE;11/16/2016 3:11:06 PM;OK;;PBA24F19SVD039;OK
63729;11/15/2016 12:03:59 PM;BARKAT;CLOSED;COMPUTACENTER - COMPUTACENTER;MINISTERE DU TRAVAIL DE L EMPLOI;INC000003532541;France;Europe;BARKAT;HP;STORAGE;HDD problem;;;;H+4 SITE 24;11/21/2016 9:02:22 PM;C;DISPATCH WESTERN EUROPE;11/21/2016 5:08:26 PM;OK;;;OK
63728;11/15/2016 11:56:46 AM;VSAUVAGE;SUPPLY CHAIN;APX - CH OUEST VOSGIEN;APX - CH OUEST VOSGIEN;##185473##;France;Europe;VSAUVAGE;EMC;STORAGE;HDD problem;;;;BEST_EFFORT;11/22/2016 2:25:01 PM;O;DISPATCH WESTERN EUROPE;;OK;;;OK
63725;11/15/2016 11:52:02 AM;JAYOUB;SUPPLY CHAIN;SOLUTION DATA - AIRBUS DEFENSE AND SPACE;AIRBUS;;France;Europe;JAYOUB;IBM;NETWORK;Network interface problem;;;;J+1;11/23/2016 12:58:06 AM;O;DISPATCH WESTERN EUROPE;;NOK;;23C9072;NOK
63724;11/15/2016 11:50:11 AM;STEPHAN;WAITING CLIENT;APX - CH OUEST VOSGIEN;APX - CH OUEST VOSGIEN;##185472##;France;Europe;STEPHAN;EMC;STORAGE;HDD problem;;;;J+1;11/16/2016 1:46:21 PM;O;DISPATCH WESTERN EUROPE;;NOK;;;NOK
63722;11/15/2016 11:44:27 AM;JAYOUB;CLOSED;EOLANE - EOLANE;EOLANE;;France;Europe;JAYOUB;HP;SERVER;HDD problem;;;;H+4 SITE 24;11/17/2016 8:15:02 PM;C;DISPATCH WESTERN EUROPE;11/17/2016 4:16:13 PM;OK;;CZ212908N6;OK
63720;11/15/2016 11:26:45 AM;STEPHAN;CLOSED;STIM PLUS;MUTUELLE UNEO;nc;France;Europe;STEPHAN;IBM;SERVER;CONFIGURATION problem;;;;H+4 SITE;11/15/2016 5:02:21 PM;C;DISPATCH WESTERN EUROPE;11/15/2016 4:00:41 PM;OK;;;OK
63719;11/15/2016 11:20:22 AM;BARKAT;CLOSED;ASLEASE - VIVENDI;VIVENDI;NC;France;Europe;BARKAT;DELL;SERVER;TO BE DEFINED problem;;;;H+4 SITE 24;11/16/2016 2:15:35 PM;C;DISPATCH WESTERN EUROPE;11/16/2016 11:19:13 AM;OK;;JSC9W4J;OK
63715;11/15/2016 11:03:31 AM;CHERRIER;CLOSED;PROBTP - PROBTP;PROBTP;N/C;France;Europe;CHERRIER;IBM;SERVER;TO BE DEFINED problem;;;;H+4 SITE 24;11/15/2016 5:38:59 PM;C;DISPATCH WESTERN EUROPE;11/15/2016 4:10:53 PM;OK;;KD6C52B;OK
63711;11/15/2016 10:39:28 AM;STEPHAN;CLOSED;GROUPE AIS - CESAME CH STE GEMMES SUR LOIRE;GROUPE AIS - CESAME CH STE GEMMES SUR LOIRE;nc;France;Europe;STEPHAN;NETAPP;STORAGE;HDD problem;11/18/2016 10:03:39 AM;HDE;STEPHANE PINTO;H+4 SITE 24;11/18/2016 12:28:57 PM;C;DISPATCH WESTERN EUROPE;11/18/2016 12:14:32 PM;OK;;200000424599;OK
63710;11/15/2016 10:31:53 AM;STEPHAN;CLOSED;ATOS - ATOS;HOSPICES CIVILS DE LYON;[Ticket#161115-BS0130];France;Europe;STEPHAN;DELL;SERVER;HDD problem;11/16/2016 10:00:00 AM;HDE;FRANCK ATHLAN;H+4 SITE 24;11/16/2016 12:23:01 PM;C;DISPATCH WESTERN EUROPE;11/17/2016 12:03:14 PM;NOK;;2XT5G2J;NOK
63708;11/15/2016 10:25:55 AM;CHERRIER;WAITING CLIENT;ATOS - ATOS;AKKA SERVICES;[Ticket#161115-BS0022];France;Europe;CHERRIER;DELL;STORAGE;BATTERY Problem;;;;BEST_EFFORT;11/22/2016 1:05:49 PM;O;DISPATCH WESTERN EUROPE;;OK;;;OK
63705;11/15/2016 10:18:53 AM;BARKAT;CLOSED;OBS - OBS;OBS;NC;France;Europe;BARKAT;EMC;STORAGE;HDD problem;11/16/2016 12:00:00 PM;HDE;Stéphane PINTO;H+4 SITE 24;11/16/2016 3:09:11 PM;C;DISPATCH WESTERN EUROPE;11/17/2016 2:49:50 PM;OK;;CK290100124;OK
63700;11/15/2016 9:56:58 AM;VSAUVAGE;CLOSED;LEXIBOOK - LEXIBOOK;LEXIBOOK;NC;France;Europe;VSAUVAGE;EMC;STORAGE;HDD problem;11/17/2016 6:00:00 PM;Livraison sur site;Client;H+4 SITE 24;11/16/2016 8:36:02 PM;C;DISPATCH WESTERN EUROPE;11/23/2016 11:24:25 AM;OK;;D7GMX2J;OK
63697;11/15/2016 9:51:01 AM;STEPHAN;CLOSED;IBM - EURIWARE;EURIWARE - LA HAGUE;706012H1BN;France;Europe;MAGIC;OVERLAND;STORAGE;HDD problem;;;;BEST_EFFORT;11/25/2016 10:09:42 AM;C;EXTERNAL_SUPPORT;11/18/2016 10:33:44 AM;OK;;;OK
63694;11/15/2016 9:07:48 AM;OBOUCHAM;CLOSED;INFIDIS - ONERA;INFIDIS - ONERA;NC;France;Europe;OBOUCHAM;SUN / ORACLE;ROBOTIC;DRIVE problem;11/16/2016 4:00:00 PM;TTS;THANONG;J+1;11/17/2016 4:00:07 PM;C;DISPATCH WESTERN EUROPE;11/17/2016 12:15:20 PM;OK;;0943BR0078;OK
63672;11/14/2016 5:18:28 PM;BARKAT;CLOSED;BT  - BT;BT;NC;France;Europe;BARKAT;HP;SERVER;POWER problem;11/17/2016 10:30:00 AM;HDE;Antoine FANELLI;H+4 SITE 24;11/17/2016 11:38:22 AM;C;DISPATCH WESTERN EUROPE;11/17/2016 12:23:17 PM;OK;;GB8013P7FH;OK
63670;11/14/2016 5:07:53 PM;VSAUVAGE;SUPPLY CHAIN;OM CONSEIL  - FHSM;USSIF;NC;France;Europe;VSAUVAGE;DELL;SERVER;HDD problem;11/16/2016 2:00:00 PM;client;client;H+4 SITE 24;11/16/2016 5:11:44 PM;O;DISPATCH WESTERN EUROPE;;NOK;;4ZGGB4J;NOK
63668;11/14/2016 5:03:03 PM;BARKAT;CLOSED;CH WISSEMBOURG - CH WISSEMBOURG;CH WISSEMBOURG;NC;France;Europe;BARKAT;HP;STORAGE;HDD problem;11/16/2016 6:30:00 PM;CLIENT;CLIENT;H+4 SITE 24;11/16/2016 8:07:22 PM;C;DISPATCH WESTERN EUROPE;11/16/2016 4:59:33 PM;OK;;;OK
63667;11/14/2016 5:02:37 PM;JAYOUB;CLOSED;ITS OVERLAP - LAFARGE;LAFARGE;48583;France;Europe;JAYOUB;HP;SERVER;HDD problem;11/15/2016 11:00:00 AM;LAFARGE;CLIENT;H+4 SITE 24;11/16/2016 7:41:47 AM;C;DISPATCH WESTERN EUROPE;11/16/2016 10:38:16 AM;OK;;GB8716CPD0;OK
63665;11/14/2016 4:52:14 PM;VSAUVAGE;WAITING CLIENT;MADRIGALL - MADRIGALL;MADRIGALL;NC;France;Europe;VSAUVAGE;DELL;SERVER;Memory problem;;;;H+4 SITE 24;11/14/2016 8:52:14 PM;O;DISPATCH WESTERN EUROPE;;NOK;;753GP2J;NOK
63664;11/14/2016 4:50:19 PM;CHERRIER;CLOSED;IBM - EURIWARE;EURIWARE - LA HAGUE;706012H13F;France;Europe;MAGIC;OVERLAND;STORAGE;HDD problem;;;;BEST_EFFORT;11/25/2016 9:59:43 AM;C;EXTERNAL_SUPPORT;11/18/2016 10:36:01 AM;OK;;;OK
63662;11/14/2016 4:29:06 PM;JAYOUB;CLOSED;ZODIAC DATA SYSTEMS;ZODIAC AEROSPACE;;France;Europe;JAYOUB;DELL;SERVER;HDD problem;11/16/2016 11:00:00 AM;ZODIAC AEROSPACE;ZODIAC AEROSPACE;J+1;11/17/2016 10:59:49 AM;C;DISPATCH WESTERN EUROPE;11/18/2016 3:29:17 PM;NOK;;HCWM23J;NOK
63661;11/14/2016 4:18:53 PM;BARKAT;CLOSED;DIGORA - DIGORA;DIGORA;NC;France;Europe;BARKAT;DELL;STORAGE;POWER problem;11/15/2016 4:00:00 PM;CLIENT;CLIENT;J+1;11/16/2016 3:07:27 PM;C;DISPATCH WESTERN EUROPE;11/15/2016 4:22:50 PM;OK;;;OK
63659;11/14/2016 4:17:16 PM;VSAUVAGE;CLOSED;KDI - KDI;KIS FRANCE -KDI;NC;France;Europe;VSAUVAGE;EMC;STORAGE;BATTERY Problem;11/21/2016 2:00:00 PM;HDE;Alain ATHLAN;BEST_EFFORT;11/22/2016 2:48:07 PM;C;DISPATCH WESTERN EUROPE;11/21/2016 6:16:31 PM;OK;;8MMF0D1;OK
